Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Story,PLY-47,10338,Calendar,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,Medium,To Do,,26/Jan/26 3:49 PM,26/Jan/26 3:52 PM,
Story,PLY-46,10305,Search Courts with a Map,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,Medium,To Do,,26/Jan/26 11:12 AM,26/Jan/26 11:16 AM,
Story,PLY-45,10304,Add court to Favourite List,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,Medium,To Do,,26/Jan/26 11:10 AM,26/Jan/26 11:15 AM,
Story,PLY-42,10199,Search Courts with a List,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,High,To Do,,27/Nov/25 10:21 AM,26/Jan/26 11:15 AM,
Story,PLY-41,10165,View Game Details,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,Highest,To Do,,24/Nov/25 11:11 AM,13/Jan/26 10:33 AM,
Story,PLY-40,10163,View Court Details,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,High,To Do,,24/Nov/25 11:05 AM,26/Jan/26 11:13 AM,
Story,PLY-39,10161,Notification Preferences,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,Medium,To Do,,24/Nov/25 11:01 AM,13/Jan/26 10:40 AM,
Story,PLY-38,10159,Profile Management,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,High,To Do,,24/Nov/25 10:58 AM,13/Jan/26 10:40 AM,
Story,PLY-37,10157,User Authentication,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,High,To Do,,24/Nov/25 10:48 AM,13/Jan/26 10:40 AM,
Story,PLY-36,10155,Search Players and Teams,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,High,To Do,,24/Nov/25 10:45 AM,13/Jan/26 10:40 AM,
Story,PLY-35,10153,View Game History,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,Medium,To Do,,24/Nov/25 10:41 AM,13/Jan/26 10:40 AM,
Story,PLY-34,10152,Game Chat,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,Medium,To Do,,24/Nov/25 10:39 AM,13/Jan/26 10:40 AM,
Story,PLY-33,10150,Respond to Friend Requests,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,Medium,To Do,,24/Nov/25 10:36 AM,13/Jan/26 10:40 AM,
Story,PLY-32,10148,Send Friend Requests,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,Medium,To Do,,24/Nov/25 10:34 AM,13/Jan/26 10:40 AM,
Story,PLY-31,10114,View Expected Court Availability,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,High,To Do,,23/Nov/25 5:09 PM,13/Jan/26 10:39 AM,
Story,PLY-30,10112,Announce Playing Intentions,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,High,To Do,,23/Nov/25 5:05 PM,13/Jan/26 10:39 AM,
Story,PLY-29,10110,Rate and Review Courts,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,Low,To Do,,23/Nov/25 4:59 PM,13/Jan/26 10:39 AM,
Story,PLY-28,10108,Add New Courts,,,Pedro Azevedo,712020:bdfb6f22-2823-4a0d-8395-4123d1965d6d,Lowest,To Do,,23/Nov/25 4:55 PM,13/Jan/26 10:39 AM,
