"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"PLY-5","Epic","","Game Management ","To Do","","","","2026/02/16","","2026/05/04","purple"
"PLY-10","Story","PLY-5","Create a Game","To Do","Pedro Azevedo","Sprint 2","","2026/02/16","","2026/03/02","purple"
"PLY-41","Story","PLY-5","View Game Details","To Do","","Sprint 2","","2026/02/16","","2026/03/02","purple"
"PLY-13","Story","PLY-5","Browse and search games","To Do","","Sprint 2","","2026/02/16","","2026/03/02","purple"
"PLY-14","Story","PLY-5","Request to Join Game","To Do","","Sprint 2","","2026/02/16","","2026/03/02","purple"
"PLY-15","Story","PLY-5","Manage Join Requests and Players","To Do","","Sprint 2","","2026/02/16","","2026/03/02","purple"
"PLY-17","Story","PLY-5","Start Game","To Do","","Sprint 2","","2026/02/16","","2026/03/02","purple"
"PLY-18","Story","PLY-5","End Game","To Do","","Sprint 2","","2026/02/16","","2026/03/02","purple"
"PLY-11","Story","PLY-5","Receive Game Notifications","To Do","","Sprint 5","","2026/04/06","","2026/04/20","purple"
"PLY-12","Story","PLY-5","Respond to game invitation","To Do","","Sprint 5","","2026/04/06","","2026/04/20","purple"
"PLY-24","Story","PLY-5","Tournament Creation","To Do","","Sprint 6","","2026/04/20","","2026/05/04","purple"
"PLY-25","Story","PLY-5","Spontaneous Game Creation","To Do","","Sprint 6","","2026/04/20","","2026/05/04","purple"
"PLY-19","Story","PLY-5","Spectator Mode","To Do","","Sprint 6","","2026/04/20","","2026/05/04","purple"
"PLY-16","Story","PLY-5","Challenge Teams","To Do","","Sprint 3","","2026/03/02","","2026/03/16","purple"
"PLY-6","Epic","","Court Availability","To Do","","","","2026/02/02","","2026/03/30","teal"
"PLY-30","Story","PLY-6","Announce Playing Intentions","To Do","","Sprint 4","","2026/03/16","","2026/03/30","purple"
"PLY-31","Story","PLY-6","View Expected Court Availability","To Do","","Sprint 4","","2026/03/16","","2026/03/30","purple"
"PLY-28","Story","PLY-6","Add New Courts","To Do","","Sprint 3","","2026/03/02","","2026/03/16","purple"
"PLY-29","Story","PLY-6","Rate and Review Courts","To Do","","Sprint 3","","2026/03/02","","2026/03/16","purple"
"PLY-40","Story","PLY-6","View Court Details and Add to Favorites","To Do","","Sprint 1","","2026/02/02","","2026/02/16","purple"
"PLY-42","Story","PLY-6","Search Courts","To Do","","Sprint 1","","2026/02/02","","2026/02/16","purple"
"PLY-26","Story","PLY-6","Court Check-In","To Do","","Sprint 1","","2026/02/02","","2026/02/16","purple"
"PLY-27","Story","PLY-6","Court Occupancy Display","To Do","","Sprint 1","","2026/02/02","","2026/02/16","purple"
"PLY-7","Epic","","Players and Social Features","To Do","","","","2026/02/16","","2026/05/04","blue"
"PLY-21","Story","PLY-7","View Player Profiles","To Do","","Sprint 2","","2026/02/16","","2026/03/02","purple"
"PLY-32","Story","PLY-7","Send Friend Requests","To Do","","Sprint 5","","2026/04/06","","2026/04/20","purple"
"PLY-33","Story","PLY-7","Respond to Friend Requests","To Do","","Sprint 5","","2026/04/06","","2026/04/20","purple"
"PLY-34","Story","PLY-7","Game Chat","To Do","","Sprint 6","","2026/04/20","","2026/05/04","purple"
"PLY-36","Story","PLY-7","Search Players and Teams","To Do","","Sprint 3","","2026/03/02","","2026/03/16","purple"
"PLY-8","Epic","","Ranking and Team System","To Do","","","","2026/03/02","","2026/03/30","green"
"PLY-20","Story","PLY-8","Player Ranking System","To Do","","Sprint 4","","2026/03/16","","2026/03/30","purple"
"PLY-22","Story","PLY-8","Team Management","To Do","","Sprint 3","","2026/03/02","","2026/03/16","purple"
"PLY-9","Epic","","User Profile and Settings","To Do","","","","2026/02/02","","2026/04/20","yellow"
"PLY-35","Story","PLY-9","View Game History","To Do","","Sprint 4","","2026/03/16","","2026/03/30","purple"
"PLY-39","Story","PLY-9","Notification Preferences","To Do","","Sprint 5","","2026/04/06","","2026/04/20","purple"
"PLY-37","Story","PLY-9","User Authentication","To Do","","Sprint 1","","2026/02/02","","2026/02/16","purple"
"PLY-38","Story","PLY-9","Profile Management","To Do","","Sprint 1","","2026/02/02","","2026/02/16","purple"
"PLY-44","Epic","","Non-Functional Requirements","To Do","","","","","","","purple"
